"class","variable","glm_coef","glm_pval","ridge_coef","lasso_coef","elastic_coef","glm_selected","ridge_selected","lasso_selected","elastic_selected","Boruta"
"2","Nasal.mucosa.surgery",-0.260309640402468,0.446216656063446,0.224676659619366,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal.mucosa.surgery",-6.43682862598674,0,-0.199785566467288,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal.mucosa.surgery",-6.90817258775423,0,-0.239691996572911,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Acetylcysteine",NA,NA,-0.217909468363158,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Acetylcysteine",-2.22259571872531,0,-0.233534360053697,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Acetylcysteine",-2.59411279150566,0,-0.190041458763712,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Acetylcysteine",8.96060084151511,0,0.641485287180567,0,0.333881454551426,TRUE,TRUE,FALSE,TRUE,"Rejected"
"1","Nasal_breathing_therapy_Acupuncture",NA,NA,-0.30081407902359,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Acupuncture",-0.61063707846208,0,-0.130254170518757,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Acupuncture",9.73162187429393,0,0.637986191470868,0,0.56321671430978,TRUE,TRUE,FALSE,TRUE,"Rejected"
"4","Nasal_breathing_therapy_Acupuncture",-1.93015543952649,0,-0.206917941928521,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Antiallergics",NA,NA,-0.277964637777653,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Antiallergics",-4.73475350066945,0,-0.217601266516354,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Antiallergics",13.5243129762198,0,0.223866342885316,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Antiallergics",8.35908215102321,0,0.271699561408692,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Antibiotics",NA,NA,-0.00354021205176688,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Antibiotics",1.81904508879766,0.0505257005570519,-0.0384942388877125,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Antibiotics",2.62501056300877,0.00489313327395835,0.0339659102297486,0,0,TRUE,FALSE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Antibiotics",2.29757111810669,0.0157923569007752,0.00806854070973083,0,0,TRUE,FALSE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Asthma.diagnostics",NA,NA,-0.161809141882462,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Asthma.diagnostics",NA,NA,-0.20781314306964,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Asthma.diagnostics",NA,NA,-0.164631674171553,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Asthma.diagnostics",NA,NA,0.534253959123655,0,0.258027604525327,FALSE,TRUE,FALSE,TRUE,"Rejected"
